id,name,neighbourhood,host_name,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
16118803,Dolce vita près metro Parc,Villeray-Saint-Michel-Parc-Extension,Antonietta,45.52774,-73.62411,Entire home/apt,65.0,31.0,11.0,10/31/23,0.14,1,326,2.0,
16122747,Studio Pedestrian street 203 rue Prince Arthur Est,Le Plateau-Mont-Royal,Vladimir & Valentina,45.51582718,-73.57106018,Entire home/apt,56.0,31.0,78.0,1/17/24,0.94,3,33,4.0,
16130411,"ZEN appartement à Montréal, 7 minutes métro",Ahuntsic-Cartierville,Juliette,45.54915,-73.64631,Entire home/apt,400.0,3.0,17.0,8/5/19,0.19,2,285,0.0,"314362, expires: 2024-06-28"
16132631,Studio 15 min from downtown,Le Sud-Ouest,Odile,45.46292,-73.5833,Entire home/apt,50.0,1.0,464.0,3/15/24,5.24,2,172,97.0,"301991, expires: 2024-08-01T00:00:00Z"
16175493,Spacious & bright apartment with large terrace,Le Plateau-Mont-Royal,François,45.51868,-73.58363,Entire home/apt,195.0,2.0,326.0,3/19/24,3.92,2,205,66.0,"296110, expires: 2024-04-30"
16207327,The Skylight Apt 2 BDR near Jean Talon Market,Rosemont-La Petite-Patrie,Jacques,45.54123,-73.60706,Entire home/apt,186.0,3.0,239.0,3/15/24,2.76,2,75,37.0,"282262, expires: 2024-05-31"
16222634,❌TREASURE - Opulent Pad - Dream Location,Ville-Marie,Catherine Marie-Claude,45.51037938,-73.56244097,Entire home/apt,1390.0,31.0,56.0,8/20/23,0.64,11,365,10.0,"294189, expires: 2024-06-02T00:00:00Z"
16242447,Au coeur  du Plateau Mont-Royal,Le Plateau-Mont-Royal,Michele,45.5303,-73.58049,Entire home/apt,185.0,7.0,22.0,9/29/23,0.27,1,287,4.0,"294845, expires: 2024-09-30"
16258070,Incredible Condo 41th floor Tour Des Canadiens,Ville-Marie,Adam,45.49719,-73.56993,Entire home/apt,105.0,31.0,91.0,11/12/23,1.04,5,146,6.0,
16295360,"AT HOME, YOU WILL FEEL",Rivière-des-Prairies-Pointe-aux-Trembles,Claudy,45.62649,-73.58973,Entire home/apt,50.0,31.0,103.0,12/7/23,1.17,2,113,3.0,
16298180,Lumineux 2 chambres  + bureau - Villeray,Villeray-Saint-Michel-Parc-Extension,Frederic,45.53852,-73.62201,Entire home/apt,89.0,31.0,1.0,12/29/16,0.01,3,171,0.0,
16325175,"Discover Little Italy from a Hip, Cozy Tinyhouse",Rosemont-La Petite-Patrie,Linda,45.53462,-73.60954,Entire home/apt,123.0,3.0,111.0,2/20/24,1.26,1,24,17.0,"302976, expires: 2024-10-31"
16362207,"Cozy & luminous 1 bedroom apartment, near metro",Mercier-Hochelaga-Maisonneuve,Jeanne,45.54125,-73.55638,Entire home/apt,85.0,31.0,35.0,12/8/19,0.4,1,100,0.0,
16376605,Flat at the Foot of the Mountain W/Parking,Le Plateau-Mont-Royal,Erol & Jay,45.50793,-73.57356,Entire home/apt,110.0,1.0,348.0,3/13/24,3.97,24,69,56.0,"294117, expires: 2024-03-31"
