id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5319105,Luxury Quiet Old Montreal Home,23738150,Tiziano,,Ville-Marie,45.51172,-73.55338,Entire home/apt,215,31,228,8/10/23,2.09,4,179,13,
5386190,"Little Italy, king-size suite/terrace & roof views",27920720,Frank,,Rosemont-La Petite-Patrie,45.5334046,-73.6075745,Entire home/apt,98,2,72,3/8/24,5.32,1,103,65,"315115, expires: 2024-08-21"
5386705,"NDG -Lower Duplex 4 bd/3 bath Solarium,Villa Maria",26828995,Michèle,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.47091,-73.63671,Entire home/apt,150,32,70,9/22/23,0.65,3,243,2,
5439050,"Chambre confortable et tranquille,",28213960,Dany,,Mission,45.66264,-73.54411,Private room,82,2,19,1/1/24,0.21,7,329,4,"307329, expires: 2024-11-01T00:00:00Z"
5446042,Quiet & Cozy studio,28247239,Ellie,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.4763,-73.63585,Entire home/apt,56,31,45,12/10/23,0.43,2,168,3,
5469892,3 bedrooms 2 bathrooms unit,28370252,Desislava,,Ahuntsic-Cartierville,45.52825,-73.73077,Entire home/apt,414,1,1,8/20/23,0.14,4,264,1,"314880, expires: 2024-08-07"
5475847,Grand appart. deux étages :3 càc et 2 sdb/Rosemont,16476183,Mélanie,,Villeray-Saint-Michel-Parc-Extension,45.56314,-73.59013,Entire home/apt,239,31,4,5/19/19,0.04,2,323,0,
5511908,Quiet Studio 8,6312297,Katherine,,Le Plateau-Mont-Royal,45.52716,-73.57465,Entire home/apt,52,32,31,8/1/23,0.29,14,273,1,
5541927,Quiet & Clean in Plateau Mont-Royal studio,6312297,Katherine,,Le Plateau-Mont-Royal,45.52716,-73.57465,Entire home/apt,52,32,22,8/3/23,0.23,14,365,1,
5543101,A beautiful room on a quiet yard,4254790,Annick,,Ville-Marie,45.49176,-73.56955,Private room,88,31,28,5/19/19,0.26,2,365,0,
5554191,SOSHE 204 adjacent MUHC Glen Campus,3299104,Franca,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.47315,-73.60792,Entire home/apt,40,365,20,9/3/22,0.18,10,203,0,
5598071,SOSHE 303 - adj. MUHC Glen Campus,3299104,Franca,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.47189,-73.60809,Entire home/apt,40,90,22,6/30/22,0.2,10,260,0,
5617978,Home Away from Home right downtown,4254790,Annick,,Ville-Marie,45.49364,-73.57052,Entire home/apt,250,31,3,8/7/15,0.03,2,365,0,
5635964,SOSHE 102 - adj. MUHC Glen Campus,3299104,Franca,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.473,-73.60778,Entire home/apt,47,365,15,7/31/20,0.14,10,358,0,
5657801,"CentreVille - JardinBBCue 3ch/1,5sdb, MétroBeaudry",26828995,Michèle,,Ville-Marie,45.51914,-73.55396,Entire home/apt,175,365,40,10/28/18,0.37,3,354,0,
5658671,Eco-appartment in Mile End,756145,Emmanuel,,Le Plateau-Mont-Royal,45.51895,-73.5924,Entire home/apt,98,1,414,3/10/24,3.82,2,170,78,"263966, expires: 2024-05-31"
5668201,"MTLVR #15 | 1600 ft2 oasis, central Plateau, A/C",24290215,Yann,,Le Plateau-Mont-Royal,45.52578757,-73.58403325,Entire home/apt,283,2,191,2/18/24,1.75,19,212,37,"286731, expires: 2024-08-31"
5738969,"Center of town - 5 lovely and airy rooms with 2 bathrooms, Beaudry subway",26828995,Michèle,,Ville-Marie,45.5191,-73.55399,Entire home/apt,150,31,37,7/1/23,0.34,3,233,1,
5758514,Studio/maison à côté métro 3,29872464,Lucie,,Saint-Laurent,45.51107,-73.6716,Entire home/apt,45,31,109,1/7/24,1,4,81,14,
5758826,FAB! 4-BEDROOMS Little Italy! 1min subway Beaubien,2713204,Jean-Philippe,,Rosemont-La Petite-Patrie,45.53575,-73.60692,Entire home/apt,150,31,49,7/7/19,0.45,2,166,0,
5806607,Studio in Montreal,13648338,Nader,,Ville-Marie,45.51909,-73.56387,Entire home/apt,51,31,67,8/25/23,0.67,9,149,1,
5809691,"MTLVR #14 | Central, Kid-Friendly, Metro 3 min",24290215,Yann,,Le Plateau-Mont-Royal,45.52413,-73.586,Entire home/apt,283,2,226,3/9/24,2.07,19,208,28,"286731, expires: 2024-08-31"
5848282,"Creative, comfortable, Plateau pad",555474,D.N.,,Le Plateau-Mont-Royal,45.52267,-73.57028,Entire home/apt,75,31,43,3/15/23,0.39,1,0,0,
5863295,Large - Best for Families - long stays,25391072,J P,,Westmount,45.48505,-73.60352,Entire home/apt,186,31,55,9/8/23,0.51,1,272,4,
5890629,"Sunny, modern & in a good location",30591927,Thibault,,Mercier-Hochelaga-Maisonneuve,45.58591,-73.54119,Entire home/apt,130,32,41,1/3/24,0.38,1,196,4,
5916367,Studio Moderne voisin du Métro Monk.,30724827,Annie,,Le Sud-Ouest,45.4509,-73.59427,Entire home/apt,70,32,144,6/22/23,1.34,1,124,1,
5933084,New on the Plateau - Chic & design,9262203,Jean Philippe,,Le Plateau-Mont-Royal,45.52862,-73.58235,Entire home/apt,260,5,52,11/19/23,0.48,1,23,7,"314260, expires: 2024-06-20"
5946811,Luxury Montreal  Home Quiet Area,24084514,David,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.48899,-73.64419,Entire home/apt,111,35,103,4/4/20,0.96,3,204,0,
6001752,Magnifique chambre hochelaga,19127144,John,,Mercier-Hochelaga-Maisonneuve,45.54375937,-73.54591232,Private room,202,31,0,,,2,365,0,
6029383,Condo 2 chambres et 1 bureau,6292487,Amanda,,Le Plateau-Mont-Royal,45.52663,-73.58559,Entire home/apt,100,180,0,,,1,201,0,
6032202,studio/maison à côté métro,29872464,Lucie,,Saint-Laurent,45.50911,-73.66983,Entire home/apt,50,31,134,10/3/23,1.23,4,23,8,
6039486,Montreal Chateau.,29894548,Nina,,Mercier-Hochelaga-Maisonneuve,45.55825,-73.53093,Entire home/apt,543,2,86,12/10/23,0.83,1,338,3,"279300, expires: 2025-01-31"
6076880,Newly renovated apartment downtown!,31543037,Faye,,Ville-Marie,45.49128,-73.57939,Entire home/apt,200,5,96,9/26/23,0.89,1,158,17,"305171, expires: 2024-05-31"
6119840,Studio for 2 downtown Mtl,25646950,Eric,,Ville-Marie,45.50769,-73.56964,Entire home/apt,83,31,57,8/24/22,0.53,10,328,0,
6130229,Gingerbread Manor - WM Room - breakfast included,4847479,Ephraim,,Le Plateau-Mont-Royal,45.51572,-73.56904,Private room,128,1,4,10/4/16,0.04,5,4,0,"222528, expires: 2024-05-31"
6134036,Cozy house in ville st-laurent,31822751,Yuan,,Saint-Laurent,45.51369,-73.66125,Private room,27,32,25,9/5/23,0.23,7,269,3,
6134740,Old Montreal Luxury Quiet Apartment,23738150,Tiziano,,Ville-Marie,45.50971,-73.55458,Entire home/apt,200,31,52,9/24/23,0.48,4,140,8,
6158475,"Charmant studio, tout équipé",11952431,Jeremy,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.48152,-73.62962,Entire home/apt,96,31,0,,,1,64,0,
6169698,The Sunny studio downtown,25646950,Eric,,Ville-Marie,45.50769,-73.56964,Entire home/apt,77,31,69,11/30/23,0.66,10,112,4,
6169860,Downtown suite-1 bedroom #201,25646950,Eric,,Ville-Marie,45.51177,-73.56672,Entire home/apt,83,180,6,7/30/17,0.06,10,306,0,
6182564,"2nd Flr Apt, Pvt Entr., Balc, Pkg, Parc Bustop 1""",32068321,Bonnie,,Villeray-Saint-Michel-Parc-Extension,45.53226,-73.63913,Entire home/apt,59,7,103,9/3/23,0.96,3,116,11,"312006, expires: 2025-02-05"
